original_text,masked_text,original_masked_word,mask_predicted
"қайтқан қаздай тіркеліп, сыңсып көшіп бара жатқан жұрттың ту сыртынан қарап дөң басында кенесары тұр","қайтқан қаздай тіркеліп, сыңсып көшіп <mask> жатқан жұрттың ту сыртынан қарап дөң басында кенесары тұр",бара,бара
"осы атасынан бастап оспан-қожа өзімен үшінші буын болып, бүкіл дүниені тітіренткен сайыпқыран көреханның самарқант сарайындағы дәйекші қызметін атқарып келген","осы атасынан бастап оспан-қожа <mask> үшінші буын болып, бүкіл дүниені тітіренткен сайыпқыран көреханның самарқант сарайындағы дәйекші қызметін атқарып келген",өзімен,бастаған
ол мені түсінгендей болды,ол мені <mask> болды,түсінгендей,түсінетін
"иә, алтайды асып, шыңғысханның мың сан әскері өткен, әр төбенің басында қорымға айналып жатқан оба сол маңғол қолынан қаза болған адамдардың мүрдесі десек, құдай-ау қып-қызыл қан жауған замандардың адыра қалғаны, ал алып алтайдың ғасырдың өлі куәсіндей мелшигені бүгінге неге ой салмайды; иә, алтайды басып бір кезде енесей қырғыздары өтті, қайтып өтті десеңізші: « текті елден » теперіш көрген үркердей жұрттың үрке босуы, туған жерін сауғаға тастап, жұмақ жұрт іздеуі әншейін еріккені ме, жо-жоқ, тілім-тілімі шығып, тентіреп бара жатқан тозғынды елдің жан шошырлық аянышты сықпыты әлі есінде, сонда астына ат беріп, аузына асын тосқан тағы мынау пейлі дарқан айналайын алтай емес пе еді; айналайын алтай сонда енесейліктің кіндік жұртынан бездірген, тойымы жоқ алакөз пенделердің бір-біріне деген бақилық қастығы – сор соғыс екенін сезген","иә, алтайды асып, шыңғысханның мың сан әскері өткен, әр төбенің басында қорымға айналып жатқан оба сол маңғол қолынан қаза болған адамдардың мүрдесі десек, құдай-ау қып-қызыл қан жауған замандардың адыра қалғаны, ал алып алтайдың ғасырдың өлі куәсіндей мелшигені бүгінге неге ой салмайды; иә, алтайды басып бір кезде енесей қырғыздары өтті, қайтып өтті десеңізші: « текті елден » теперіш көрген үркердей жұрттың үрке босуы, туған жерін сауғаға тастап, жұмақ жұрт іздеуі әншейін еріккені ме, жо-жоқ, тілім-тілімі шығып, тентіреп бара жатқан тозғынды елдің жан шошырлық аянышты сықпыты әлі есінде, сонда астына ат беріп, аузына асын тосқан тағы <mask> пейлі дарқан айналайын алтай емес пе еді; айналайын алтай сонда енесейліктің кіндік жұртынан бездірген, тойымы жоқ алакөз пенделердің бір-біріне деген бақилық қастығы – сор соғыс екенін сезген",мынау,","
"ендеше он алты жасымнан отыз алты жасыма дейін, былтырғы күзге дейін жиырма жылдың қысында қар төсеніп, мұз жастанып, жаз жалғыз түн тыным көрмей күзетіңде, жылқыңның соңында өзім өттім","ендеше он алты жасымнан отыз алты жасыма дейін, былтырғы күзге дейін <mask> жылдың қысында қар төсеніп, мұз жастанып, жаз жалғыз түн тыным көрмей күзетіңде, жылқыңның соңында өзім өттім",жиырма,","
олар « ханның бұл жүрісі тегін жүріс емес шығар,олар « ханның бұл жүрісі тегін <mask> емес шығар,жүріс,»
"батыстық жетістікке жету жолы жалпы жетістік теориясы орыс тілінде « успешный человек », қазақшасы « жетістікке жеткен адам », бірақ біздің менталитет үшін, бұл соншалықты мықты ұғым емес","батыстық жетістікке жету жолы жалпы жетістік теориясы орыс тілінде « успешный человек <mask> қазақшасы « жетістікке жеткен адам », бірақ біздің менталитет үшін, бұл соншалықты мықты ұғым емес","»,",»
"үлкен ұлы училищегетүскенін, әзірге одан еш көмекжоқтығын да айтып өтті","үлкен <mask> училищегетүскенін, әзірге одан еш көмекжоқтығын да айтып өтті",ұлы,дерді
ол ө зін жер бетінде еш жанашыры жо қ жетім баладай сезінді,ол ө зін жер бетінде <mask> жанашыры жо қ жетім баладай сезінді,еш,","
"бір кезде өзін айрықша құрмет тұтатын, тіпті кішілік көрсететін борис годунов қазір бір түрлі күмәнмен қарайды, ең аяғы, швециямен арадағы сәтті соғыстан соң көңілдегідей тиімді бітім жасалмай жатуына да думный дьяктың қатысы бар деп ойлайтын тәрізді","бір кезде өзін айрықша құрмет тұтатын, тіпті кішілік көрсететін борис годунов қазір бір түрлі күмәнмен қарайды, ең аяғы, швециямен арадағы сәтті соғыстан соң көңілдегідей тиімді бітім жасалмай жатуына да думный дьяктың қатысы <mask> деп ойлайтын тәрізді",бар,жоқ
"қу тірліктің тәлкегінде жүріп, оларды еске алып, құран түсіртпегеніне кешірім сұрады, – тұрар ұрпағың еді ғой, мейіріміңді сал, – деп жылқыайдар әкесінің, сәлік бабасының әруағына жалбарынды","қу тірліктің тәлкегінде жүріп, оларды еске алып, құран түсіртпегеніне кешірім <mask> – тұрар ұрпағың еді ғой, мейіріміңді сал, – деп жылқыайдар әкесінің, сәлік бабасының әруағына жалбарынды","сұрады,",сұрау
"е-е, осынау салқын бөлменің өзінде жан қысылып, ыстықтаған кез болған секілді ғой","е-е, осынау салқын бөлменің өзінде жан <mask> ыстықтаған кез болған секілді ғой","қысылып,",ымды
"сондықтан тұрақты, шартсыз махаббатқа салым салу жалғыз ғана жол болуы мүмкін","сондықтан тұрақты, шартсыз махаббатқа салым салу жалғыз <mask> жол болуы мүмкін",ғана,ғана
"оны үнемі үзбей жасап тұрса, қандай оң өзгерістерге алып келуі мүмкін","оны <mask> үзбей жасап тұрса, қандай оң өзгерістерге алып келуі мүмкін",үнемі,неғұрлым
"олар бір-бірінің көзіне қарап, шын мәнінде, билікті ұзақ ұстап тұру үшін қажетті қасиеттерді, кімнің өзін-өзі басқара алатынын, кімнің өзін-өзі ұстай алатынын көре алды","олар бір-бірінің көзіне қарап, <mask> мәнінде, билікті ұзақ ұстап тұру үшін қажетті қасиеттерді, кімнің өзін-өзі басқара алатынын, кімнің өзін-өзі ұстай алатынын көре алды",шын,шын
"ал қалтасында ең бағалы асыл тас бар екенінен хабары жоқ қайыршы таңертең оянады да, баяғы тіленшілік өмірін әрі қарай жалғастыра береді","ал қалтасында ең бағалы асыл тас бар екенінен хабары жоқ қайыршы таңертең оянады да, баяғы <mask> өмірін әрі қарай жалғастыра береді",тіленшілік,дай
"барлығы бас қосып бір келе жатқандарына, ауа райының қоңыр салқындығына, балалардың асыр салып ойнағанына едіге дән риза","барлығы <mask> қосып бір келе жатқандарына, ауа райының қоңыр салқындығына, балалардың асыр салып ойнағанына едіге дән риза",бас,бас
"расында да, мына тұманда жалғыз жүрудің оңайға түспесі анық","расында да, <mask> тұманда жалғыз жүрудің оңайға түспесі анық",мына,тіпті
"толассыз жауыны, тынымсыз көшуі де титығымды құртты","толассыз жауыны, тынымсыз көшуі де <mask> құртты",титығымды,","
"сосын ернін жымқырып, күйген беттерді жинап, бырысып қалғандарын жазуға кірісті","сосын ернін жымқырып, күйген беттерді жинап, бырысып <mask> жазуға кірісті",қалғандарын,","
аттар да жоқ,аттар <mask> жоқ,да,:
"ашаршылық қазақстанның ой мен қырын аралай, еңкейген кәрі, еңбектеген жастарды да ажалынан бұрын алып кетті","ашаршылық <mask> ой мен қырын аралай, еңкейген кәрі, еңбектеген жастарды да ажалынан бұрын алып кетті",қазақстанның,","
күмәнін сейілту үшін: – маған азарық жер болса да жетеді,күмәнін <mask> үшін: – маған азарық жер болса да жетеді,сейілту,ашу
"қазақ қазақ болам деп іргесін бөлектегелі тыныш отырған күні бар ма, сірә","қазақ қазақ болам деп іргесін бөлектегелі тыныш отырған <mask> бар ма, сірә",күні,жайы
"сондықтан сыртыңнан пышақ ұруға бейім « досыңмен » немесе оған қарсы тұруға яки өз өміріңнен сызып тастауға тиіс қандай да бір зиянды адаммен қарым-қатынаста бол­тан кезде, оны ренжітіп алмауды ойлап, тұзаққа түсесің","сондықтан сыртыңнан пышақ ұруға бейім « досыңмен » немесе оған қарсы тұруға яки өз <mask> сызып тастауға тиіс қандай да бір зиянды адаммен қарым-қатынаста бол­тан кезде, оны ренжітіп алмауды ойлап, тұзаққа түсесің",өміріңнен,орнын
"ұйықтады деген аты ғана, ас қорыту үшін ағзамыз түні бойы қиналып жұмыс істейді","ұйықтады деген аты ғана, ас қорыту үшін ағзамыз түні бойы <mask> жұмыс істейді",қиналып,жақсы
"арбалыны асау аттар жазым қылмау үшін, делбелерін көсем мінген салт қолына алып, еркіне жібермей жетектеп отырады","арбалыны асау аттар жазым қылмау үшін, делбелерін көсем мінген салт қолына <mask> еркіне жібермей жетектеп отырады","алып,",","
