original_text,masked_text,original_masked_word,mask_predicted
"қайтқан қаздай тіркеліп, сыңсып көшіп бара жатқан жұрттың ту сыртынан қарап дөң басында кенесары тұр","қайтқан қаздай тіркеліп, сыңсып көшіп [MASK] жатқан жұрттың ту сыртынан қарап дөң басында кенесары тұр",бара,","
"осы атасынан бастап оспан-қожа өзімен үшінші буын болып, бүкіл дүниені тітіренткен сайыпқыран көреханның самарқант сарайындағы дәйекші қызметін атқарып келген","осы атасынан бастап оспан-қожа [MASK] үшінші буын болып, бүкіл дүниені тітіренткен сайыпқыран көреханның самарқант сарайындағы дәйекші қызметін атқарып келген",өзімен,##ң
ол мені түсінгендей болды,ол мені [MASK] болды,түсінгендей,де
"иә, алтайды асып, шыңғысханның мың сан әскері өткен, әр төбенің басында қорымға айналып жатқан оба сол маңғол қолынан қаза болған адамдардың мүрдесі десек, құдай-ау қып-қызыл қан жауған замандардың адыра қалғаны, ал алып алтайдың ғасырдың өлі куәсіндей мелшигені бүгінге неге ой салмайды; иә, алтайды басып бір кезде енесей қырғыздары өтті, қайтып өтті десеңізші: « текті елден » теперіш көрген үркердей жұрттың үрке босуы, туған жерін сауғаға тастап, жұмақ жұрт іздеуі әншейін еріккені ме, жо-жоқ, тілім-тілімі шығып, тентіреп бара жатқан тозғынды елдің жан шошырлық аянышты сықпыты әлі есінде, сонда астына ат беріп, аузына асын тосқан тағы мынау пейлі дарқан айналайын алтай емес пе еді; айналайын алтай сонда енесейліктің кіндік жұртынан бездірген, тойымы жоқ алакөз пенделердің бір-біріне деген бақилық қастығы – сор соғыс екенін сезген","иә, алтайды асып, шыңғысханның мың сан әскері өткен, әр төбенің басында қорымға айналып жатқан оба сол маңғол қолынан қаза болған адамдардың мүрдесі десек, құдай-ау қып-қызыл қан жауған замандардың адыра қалғаны, ал алып алтайдың ғасырдың өлі куәсіндей мелшигені бүгінге неге ой салмайды; иә, алтайды басып бір кезде енесей қырғыздары өтті, қайтып өтті десеңізші: « текті елден » теперіш көрген үркердей жұрттың үрке босуы, туған жерін сауғаға тастап, жұмақ жұрт іздеуі әншейін еріккені ме, жо-жоқ, тілім-тілімі шығып, тентіреп бара жатқан тозғынды елдің жан шошырлық аянышты сықпыты әлі есінде, сонда астына ат беріп, аузына асын тосқан тағы [MASK] пейлі дарқан айналайын алтай емес пе еді; айналайын алтай сонда енесейліктің кіндік жұртынан бездірген, тойымы жоқ алакөз пенделердің бір-біріне деген бақилық қастығы – сор соғыс екенін сезген",мынау,да
"ендеше он алты жасымнан отыз алты жасыма дейін, былтырғы күзге дейін жиырма жылдың қысында қар төсеніп, мұз жастанып, жаз жалғыз түн тыным көрмей күзетіңде, жылқыңның соңында өзім өттім","ендеше он алты жасымнан отыз алты жасыма дейін, былтырғы күзге дейін [MASK] жылдың қысында қар төсеніп, мұз жастанып, жаз жалғыз түн тыным көрмей күзетіңде, жылқыңның соңында өзім өттім",жиырма,","
олар « ханның бұл жүрісі тегін жүріс емес шығар,олар « ханның бұл жүрісі тегін [MASK] емес шығар,жүріс,емес
"батыстық жетістікке жету жолы жалпы жетістік теориясы орыс тілінде « успешный человек », қазақшасы « жетістікке жеткен адам », бірақ біздің менталитет үшін, бұл соншалықты мықты ұғым емес","батыстық жетістікке жету жолы жалпы жетістік теориясы орыс тілінде « успешный человек [MASK] қазақшасы « жетістікке жеткен адам », бірақ біздің менталитет үшін, бұл соншалықты мықты ұғым емес","»,",»
"үлкен ұлы училищегетүскенін, әзірге одан еш көмекжоқтығын да айтып өтті","үлкен [MASK] училищегетүскенін, әзірге одан еш көмекжоқтығын да айтып өтті",ұлы,үлкен
ол ө зін жер бетінде еш жанашыры жо қ жетім баладай сезінді,ол ө зін жер бетінде [MASK] жанашыры жо қ жетім баладай сезінді,еш,","
"бір кезде өзін айрықша құрмет тұтатын, тіпті кішілік көрсететін борис годунов қазір бір түрлі күмәнмен қарайды, ең аяғы, швециямен арадағы сәтті соғыстан соң көңілдегідей тиімді бітім жасалмай жатуына да думный дьяктың қатысы бар деп ойлайтын тәрізді","бір кезде өзін айрықша құрмет тұтатын, тіпті кішілік көрсететін борис годунов қазір бір түрлі күмәнмен қарайды, ең аяғы, швециямен арадағы сәтті соғыстан соң көңілдегідей тиімді бітім жасалмай жатуына да думный дьяктың қатысы [MASK] деп ойлайтын тәрізді",бар,##сы
"қу тірліктің тәлкегінде жүріп, оларды еске алып, құран түсіртпегеніне кешірім сұрады, – тұрар ұрпағың еді ғой, мейіріміңді сал, – деп жылқыайдар әкесінің, сәлік бабасының әруағына жалбарынды","қу тірліктің тәлкегінде жүріп, оларды еске алып, құран түсіртпегеніне кешірім [MASK] – тұрар ұрпағың еді ғой, мейіріміңді сал, – деп жылқыайдар әкесінің, сәлік бабасының әруағына жалбарынды","сұрады,",.
"е-е, осынау салқын бөлменің өзінде жан қысылып, ыстықтаған кез болған секілді ғой","е-е, осынау салқын бөлменің өзінде жан [MASK] ыстықтаған кез болған секілді ғой","қысылып,",-
"сондықтан тұрақты, шартсыз махаббатқа салым салу жалғыз ғана жол болуы мүмкін","сондықтан тұрақты, шартсыз махаббатқа салым салу жалғыз [MASK] жол болуы мүмкін",ғана,бір
"оны үнемі үзбей жасап тұрса, қандай оң өзгерістерге алып келуі мүмкін","оны [MASK] үзбей жасап тұрса, қандай оң өзгерістерге алып келуі мүмкін",үнемі,өте
"олар бір-бірінің көзіне қарап, шын мәнінде, билікті ұзақ ұстап тұру үшін қажетті қасиеттерді, кімнің өзін-өзі басқара алатынын, кімнің өзін-өзі ұстай алатынын көре алды","олар бір-бірінің көзіне қарап, [MASK] мәнінде, билікті ұзақ ұстап тұру үшін қажетті қасиеттерді, кімнің өзін-өзі басқара алатынын, кімнің өзін-өзі ұстай алатынын көре алды",шын,өз
"ал қалтасында ең бағалы асыл тас бар екенінен хабары жоқ қайыршы таңертең оянады да, баяғы тіленшілік өмірін әрі қарай жалғастыра береді","ал қалтасында ең бағалы асыл тас бар екенінен хабары жоқ қайыршы таңертең оянады да, баяғы [MASK] өмірін әрі қарай жалғастыра береді",тіленшілік,##лы
"барлығы бас қосып бір келе жатқандарына, ауа райының қоңыр салқындығына, балалардың асыр салып ойнағанына едіге дән риза","барлығы [MASK] қосып бір келе жатқандарына, ауа райының қоңыр салқындығына, балалардың асыр салып ойнағанына едіге дән риза",бас,##н
"расында да, мына тұманда жалғыз жүрудің оңайға түспесі анық","расында да, [MASK] тұманда жалғыз жүрудің оңайға түспесі анық",мына,басқа
"толассыз жауыны, тынымсыз көшуі де титығымды құртты","толассыз жауыны, тынымсыз көшуі де [MASK] құртты",титығымды,.
"сосын ернін жымқырып, күйген беттерді жинап, бырысып қалғандарын жазуға кірісті","сосын ернін жымқырып, күйген беттерді жинап, бырысып [MASK] жазуға кірісті",қалғандарын,","
аттар да жоқ,аттар [MASK] жоқ,да,-
"ашаршылық қазақстанның ой мен қырын аралай, еңкейген кәрі, еңбектеген жастарды да ажалынан бұрын алып кетті","ашаршылық [MASK] ой мен қырын аралай, еңкейген кәрі, еңбектеген жастарды да ажалынан бұрын алып кетті",қазақстанның,##тың
күмәнін сейілту үшін: – маған азарық жер болса да жетеді,күмәнін [MASK] үшін: – маған азарық жер болса да жетеді,сейілту,##і
"қазақ қазақ болам деп іргесін бөлектегелі тыныш отырған күні бар ма, сірә","қазақ қазақ болам деп іргесін бөлектегелі тыныш отырған [MASK] бар ма, сірә",күні,","
"сондықтан сыртыңнан пышақ ұруға бейім « досыңмен » немесе оған қарсы тұруға яки өз өміріңнен сызып тастауға тиіс қандай да бір зиянды адаммен қарым-қатынаста бол­тан кезде, оны ренжітіп алмауды ойлап, тұзаққа түсесің","сондықтан сыртыңнан пышақ ұруға бейім « досыңмен » немесе оған қарсы тұруға яки өз [MASK] сызып тастауға тиіс қандай да бір зиянды адаммен қарым-қатынаста бол­тан кезде, оны ренжітіп алмауды ойлап, тұзаққа түсесің",өміріңнен,##дері
"ұйықтады деген аты ғана, ас қорыту үшін ағзамыз түні бойы қиналып жұмыс істейді","ұйықтады деген аты ғана, ас қорыту үшін ағзамыз түні бойы [MASK] жұмыс істейді",қиналып,ғана
"арбалыны асау аттар жазым қылмау үшін, делбелерін көсем мінген салт қолына алып, еркіне жібермей жетектеп отырады","арбалыны асау аттар жазым қылмау үшін, делбелерін көсем мінген салт қолына [MASK] еркіне жібермей жетектеп отырады","алып,",","
"таби ғ атты ң кереметіне, жапыра қ сыбдыры мен б ұ ла қ сылдырына, музыка құ діреті мен поэзияны ң си қ ырлы қ асиетіне, айды ң арулы ғ ы мен д ә л т ө бесіндегі аспанны ң д ә л б ү гін соншалы қ ты тазалы ғ ына, та ғ ы-та ғ ы н ә зік құ былыстар ғ а к өң іл б ө ліп жататын оны ң уа қ ыты жо қ","таби ғ атты ң [MASK] жапыра қ сыбдыры мен б ұ ла қ сылдырына, музыка құ діреті мен поэзияны ң си қ ырлы қ асиетіне, айды ң арулы ғ ы мен д ә л т ө бесіндегі аспанны ң д ә л б ү гін соншалы қ ты тазалы ғ ына, та ғ ы-та ғ ы н ә зік құ былыстар ғ а к өң іл б ө ліп жататын оны ң уа қ ыты жо қ","кереметіне,",а
ақпараттандырушының тиімділігін анықтау мәселесінде сенім маңызды фактор бола алады,ақпараттандырушының тиімділігін анықтау мәселесінде сенім маңызды [MASK] бола алады,фактор,болып
ол үлгерімі нашар оқушылар қатарынан шыға алмай-ақ қойды,ол [MASK] нашар оқушылар қатарынан шыға алмай-ақ қойды,үлгерімі,-
